,open,high,low,close,volume,datetime
0,391.1,391.2,391.1,391.16,1660,1616497200000
1,391.15,391.19,391.11,391.13,5417,1616497260000
2,391.12,391.15,391.11,391.15,1698,1616497320000
3,391.1,391.1,391.06,391.06,3984,1616497380000
4,391.05,391.06,391.03,391.03,5715,1616497440000
5,391.03,391.06,391.0,391.05,50252,1616497500000
6,391.16,391.16,391.06,391.06,900,1616497560000
7,390.93,390.93,390.92,390.92,479,1616497620000
8,390.94,390.94,390.85,390.85,955,1616497680000
9,390.88,390.9,390.88,390.9,523,1616497740000
10,390.93,390.93,390.87,390.87,1300,1616497800000
11,390.93,390.95,390.93,390.95,600,1616497860000
12,390.93,390.95,390.93,390.95,500,1616497920000
13,390.95,390.95,390.9,390.9,1214,1616497980000
14,390.93,390.96,390.91,390.95,990,1616498040000
15,390.95,391.05,390.95,391.02,2460,1616498100000
16,390.98,391.1,390.98,391.1,611,1616498160000
17,391.08,391.12,391.06,391.12,2450,1616498220000
18,391.11,391.11,391.11,391.11,200,1616498280000
19,391.09,391.09,391.07,391.07,600,1616498340000
20,391.13,391.2,391.13,391.2,900,1616498400000
21,391.2,391.21,391.2,391.21,200,1616498460000
22,391.21,391.32,391.2,391.32,953,1616498520000
23,391.35,391.52,391.33,391.52,8650,1616498580000
24,391.52,391.54,391.47,391.5,11650,1616498640000
25,391.5,391.5,391.34,391.34,10600,1616498700000
26,391.38,391.39,391.38,391.39,500,1616498760000
27,391.38,391.38,391.33,391.33,2700,1616498820000
28,391.39,391.39,391.37,391.37,899,1616498880000
29,391.32,391.34,391.32,391.34,1598,1616498940000
30,391.42,391.42,391.41,391.41,523,1616499000000
31,391.45,391.5,391.45,391.5,3650,1616499060000
32,391.52,391.52,391.52,391.52,1467,1616499120000
33,391.52,391.52,391.47,391.47,3031,1616499180000
34,391.46,391.46,391.46,391.46,100,1616499240000
35,391.49,391.54,391.49,391.54,15135,1616499300000
36,391.54,391.55,391.52,391.53,1617,1616499360000
