,open,high,low,close,volume,time,AVG,PV,cumPV,cumV,VWAP,EMA
0,390.55,390.66,390.55,390.61,5500,07:00:00,390.61,2148355.0,2148355.0,5500,390.61,390.61
1,390.63,390.63,390.63,390.63,308,07:01:00,390.63,120314.04,2268669.04,5808,390.61,390.615
2,390.6,390.6,390.6,390.6,1800,07:02:00,390.6,703080.0,2971749.04,7608,390.61,390.61125000000004
3,390.62,390.62,390.52,390.52,997,07:03:00,390.55,389378.35,3361127.39,8605,390.6,390.59593750000005
4,390.49,390.49,390.4,390.4,1400,07:04:00,390.43,546602.0,3907729.39,10005,390.58,390.55445312500007
5,390.4,390.4,390.38,390.38,750,07:05:00,390.39,292792.5,4200521.89,10755,390.56,390.51333984375003
6,390.37,390.42,390.37,390.42,3266,07:06:00,390.4,1275046.4,5475568.29,14021,390.53,390.4850048828125
7,390.42,390.55,390.42,390.49,1275,07:07:00,390.49,497874.75,5973443.04,15296,390.52,390.4862536621094
8,390.56,390.67,390.56,390.67,300,07:08:00,390.63,117189.0,6090632.04,15596,390.53,390.522190246582
9,390.7,390.74,390.7,390.7,1302,07:09:00,390.71,508704.42,6599336.46,16898,390.54,390.56914268493654
10,390.69,390.69,390.6,390.6,14405,07:13:00,390.63,5627025.15,12226361.61,31303,390.58,390.5843570137024
11,390.58,390.6,390.57,390.58,10623,07:14:00,390.58,4149131.34,16375492.95,41926,390.58,390.5832677602768
12,390.58,390.58,390.58,390.58,150,07:15:00,390.58,58587.0,16434079.95,42076,390.58,390.58245082020755
13,390.53,390.53,390.47,390.47,800,07:16:00,390.49,312392.0,16746471.95,42876,390.58,390.55933811515564
14,390.51,390.54,390.48,390.48,29438,07:17:00,390.5,11495539.0,28242010.95,72314,390.55,390.5445035863667
15,390.5,390.5,390.5,390.5,2000,07:18:00,390.5,781000.0,29023010.95,74314,390.55,390.533377689775
16,390.49,390.49,390.49,390.49,100,07:19:00,390.49,39049.0,29062059.95,74414,390.55,390.52253326733126
17,390.43,390.43,390.42,390.42,200,07:20:00,390.42,78084.0,29140143.95,74614,390.55,390.49689995049846
18,390.32,390.32,390.32,390.32,300,07:21:00,390.32,117096.0,29257239.95,74914,390.54,390.4526749628738
19,390.3,390.31,390.3,390.31,1000,07:22:00,390.31,390310.0,29647549.95,75914,390.54,390.41700622215535
20,390.27,390.27,390.24,390.24,2390,07:23:00,390.25,932697.5,30580247.45,78304,390.53,390.3752546666165
21,390.2,390.33,390.15,390.33,3838,07:24:00,390.27,1497856.26,32078103.71,82142,390.52,390.3489409999624
22,390.34,390.39,390.33,390.36,1400,07:25:00,390.36,546504.0,32624607.71,83542,390.52,390.35170574997176
23,390.36,390.42,390.36,390.4,2960,07:26:00,390.39,1155554.4,33780162.11,86502,390.51,390.3612793124788
24,390.3,390.3,390.3,390.3,100,07:27:00,390.3,39030.0,33819192.11,86602,390.51,390.34595948435907
25,390.21,390.21,390.14,390.15,3226,07:28:00,390.17,1258688.42,35077880.53,89828,390.5,390.3019696132693
26,390.15,390.17,390.08,390.08,3766,07:29:00,390.11,1469154.26,36547034.79,93594,390.48,390.25397720995204
27,390.08,390.1,390.08,390.1,1020,07:30:00,390.09,397891.8,36944926.59,94614,390.48,390.212982907464
28,390.1,390.19,390.1,390.13,968,07:31:00,390.14,377655.52,37322582.11,95582,390.48,390.19473718059794
